,addr,lat,lng
0,대한민국 서울특별시 중구 을지로동 수표로 27,37.5636465,126.9895796
1,대한민국 서울특별시 종로구 종로1.2.3.4가동 율곡로 46,37.5755578,126.9848674
2,대한민국 서울특별시 중구 남대문로5가 한강대로 410,37.5547584,126.9734981
3,대한민국 서울특별시 서대문구 미근동 통일로 113,37.5647848,126.9667762
4,대한민국 서울특별시 종로구 종로1.2.3.4가동 창경궁로 112-16,37.5718401,126.9988562
5,대한민국 서울특별시 용산구 원효로1가 12-12,37.5411211,126.9676935
6,대한민국 서울특별시 성북구 삼선동5가 301,37.5897271,127.0161318
7,대한민국 서울특별시 동대문구 청량리동 약령시로21길 29,37.58506149999999,127.0457679
8,대한민국 서울특별시 마포구 아현동 618-1,37.550814,126.954028
9,대한민국 서울특별시 영등포구 영등포동 영등포로46길 14,37.5179839,126.9075056
10,대한민국 서울특별시 성동구 행당1동 왕십리광장로 9,37.5617309,127.0363806
11,대한민국 서울특별시 동작구 노량진동 72,37.5130685,126.9428078
12,대한민국 서울특별시 광진구 구의1동 자양로 167,37.542873,127.083821
13,대한민국 서울특별시 은평구 대조동 통일로 757,37.6128611,126.9274951
14,대한민국 서울특별시 강북구 번1동 오패산로 406,37.63730390000001,127.0273399
15,대한민국 서울특별시 관악구 신림동 544,37.4814051,126.9099508
16,대한민국 서울특별시 중랑구 신내1동 신내역로3길 40-10,37.618692,127.1047136
17,대한민국 서울특별시 강남구 대치동 998,37.5094352,127.0669578
18,대한민국 서울특별시 관악구 봉천동,37.4743789,126.9509748
19,대한민국 서울특별시 양천구 신월동 화곡로 73,37.5397827,126.8299968
20,대한민국 서울특별시 강동구 성내1동 성내로 57,37.528511,127.1268224
21,대한민국 서울특별시 성북구 종암동 종암로 135,37.6020592,127.0321577
22,대한민국 서울특별시 구로구 가마산로 235,37.494931,126.886731
23,대한민국 서울특별시 서초구 서초3동 반포대로 179,37.4956054,127.0052504
24,대한민국 서울특별시 양천구 신정6동 목동동로 99,37.5165667,126.8656763
25,대한민국 서울특별시 송파구 가락본동 9,37.5019065,127.1271513
26,대한민국 서울특별시 노원구 하계동 노원로 283,37.6423605,127.0714027
27,대한민국 서울특별시 서초구 방배동 동작대로 204,37.4945959,126.9831279
28,대한민국 서울특별시 은평구 불광2동 연서로 365,37.6283597,126.9287226
29,대한민국 서울특별시 도봉구 창4동 노해로 403,37.6533589,127.052682
30,대한민국 서울특별시 강남구 개포동 개포로 617,37.49349,127.0772119
